X_hat, cp_s, h_hat, cr, T_design, CF,SHB_CF, CAPEX_total, Total_profit, Total_CO2
1.000000,1.200000,65.000000,1.000000,400.000000,0.246047,0.581754,13.449567,357570.755535,3438.790254
1.000000,1.200000,70.000000,1.000000,400.000000,0.246047,0.581754,13.499567,357570.755535,3438.790254
1.000000,1.200000,75.000000,1.000000,400.000000,0.246047,0.581754,13.549567,357570.755535,3438.790254
1.000000,1.200000,80.000000,1.000000,400.000000,0.246047,0.581754,13.599567,357570.755535,3438.790254
1.000000,1.200000,85.000000,1.000000,400.000000,0.246047,0.581754,13.649567,357570.755535,3438.790254
1.000000,1.200000,90.000000,1.000000,400.000000,0.246047,0.581754,13.699567,357570.755535,3438.790254
1.000000,1.200000,95.000000,1.000000,400.000000,0.246047,0.581754,13.749567,357570.755535,3438.790254
1.000000,1.200000,100.000000,1.000000,400.000000,0.246047,0.581754,13.799567,357570.755535,3438.790254
1.000000,1.400000,5.000000,1.000000,400.000000,0.192166,0.422232,13.137594,270751.469833,2685.846758
1.000000,1.400000,10.000000,1.000000,400.000000,0.211330,0.463813,13.187594,297025.866691,2953.657714
1.000000,1.400000,15.000000,1.000000,400.000000,0.227592,0.499115,13.237594,320416.750098,3180.841554
1.000000,1.400000,20.000000,1.000000,400.000000,0.241386,0.534627,13.287594,341200.030859,3373.638263
1.000000,1.400000,25.000000,1.000000,400.000000,0.252426,0.563737,13.337594,359215.867133,3528.058943
1.000000,1.400000,30.000000,1.000000,400.000000,0.262790,0.587062,13.387594,375152.825299,3672.805570
1.000000,1.400000,35.000000,1.000000,400.000000,0.270876,0.604947,13.437594,388077.391299,3785.824330
1.000000,1.400000,40.000000,1.000000,400.000000,0.276822,0.616800,13.487594,397662.836766,3868.926360
1.000000,1.400000,45.000000,1.000000,400.000000,0.280484,0.626960,13.537594,403785.110181,3920.117210
1.000000,1.400000,50.000000,1.000000,400.000000,0.281531,0.634760,13.587594,407116.110693,3934.743167
1.000000,1.400000,55.000000,1.000000,400.000000,0.281768,0.639850,13.637594,408705.710810,3938.067249
1.000000,1.400000,60.000000,1.000000,400.000000,0.281911,0.639764,13.687594,408895.179150,3940.061697
1.000000,1.400000,65.000000,1.000000,400.000000,0.282006,0.639536,13.737594,408983.284278,3941.391330
1.000000,1.400000,70.000000,1.000000,400.000000,0.282054,0.639412,13.787594,409006.262322,3942.056146
1.000000,1.400000,75.000000,1.000000,400.000000,0.282054,0.639441,13.837594,409026.788889,3942.056146
1.000000,1.400000,80.000000,1.000000,400.000000,0.282054,0.639441,13.887594,409026.788889,3942.056146
1.000000,1.400000,85.000000,1.000000,400.000000,0.282054,0.639441,13.937594,409026.788889,3942.056146
1.000000,1.400000,90.000000,1.000000,400.000000,0.282054,0.639441,13.987594,409026.788889,3942.056146
1.000000,1.400000,95.000000,1.000000,400.000000,0.282054,0.639441,14.037594,409026.788889,3942.056146
1.000000,1.400000,100.000000,1.000000,400.000000,0.282054,0.639441,14.087594,409026.788889,3942.056146
1.000000,1.600000,5.000000,1.000000,400.000000,0.197298,0.432182,13.416097,279219.048799,2757.536924
1.000000,1.600000,10.000000,1.000000,400.000000,0.218174,0.475542,13.466097,307472.676494,3049.207939
