pi_co2, cp_s, h_hat, cr, T_design, CF,SHB_CF, CAPEX_total, Total_profit, Total_CO2
220.000000,3.000000,85.000000,1.000000,400.000000,0.421085,0.873497,15.987489,729720.660620,5885.314009
220.000000,3.000000,90.000000,1.000000,400.000000,0.422132,0.876313,16.037489,731620.214675,5899.939966
220.000000,3.000000,95.000000,1.000000,400.000000,0.423226,0.876817,16.087489,733184.896970,5915.230740
220.000000,3.000000,100.000000,1.000000,400.000000,0.423935,0.879937,16.137489,734716.464634,5924.897461
240.000000,3.000000,10.000000,1.000000,400.000000,0.242342,0.514222,15.237489,477535.740604,3387.117901
240.000000,3.000000,15.000000,1.000000,400.000000,0.264217,0.564878,15.287489,522423.753159,3692.750057
240.000000,3.000000,20.000000,1.000000,400.000000,0.286958,0.599905,15.337489,568202.540041,4010.715532
240.000000,3.000000,25.000000,1.000000,400.000000,0.306312,0.645624,15.387489,609180.034106,4281.112427
240.000000,3.000000,30.000000,1.000000,400.000000,0.325143,0.679661,15.437489,648815.666965,4544.074135
240.000000,3.000000,35.000000,1.000000,400.000000,0.343888,0.714659,15.487489,688666.837158,4806.317255
240.000000,3.000000,40.000000,1.000000,400.000000,0.360964,0.752150,15.537489,723510.992530,5044.986285
240.000000,3.000000,45.000000,1.000000,400.000000,0.376322,0.778729,15.587489,754862.094756,5259.416407
240.000000,3.000000,50.000000,1.000000,400.000000,0.391591,0.808400,15.637489,785835.430576,5472.822420
240.000000,3.000000,55.000000,1.000000,400.000000,0.404485,0.837034,15.687489,811362.265935,5653.293142
240.000000,3.000000,60.000000,1.000000,400.000000,0.412429,0.853054,15.737489,826544.149634,5764.317454
240.000000,3.000000,65.000000,1.000000,400.000000,0.416705,0.863052,15.787489,835193.773879,5823.845393
240.000000,3.000000,70.000000,1.000000,400.000000,0.418755,0.869911,15.837489,839803.985671,5852.738013
240.000000,3.000000,75.000000,1.000000,400.000000,0.420039,0.869701,15.887489,842857.211906,5870.688052
240.000000,3.000000,80.000000,1.000000,400.000000,0.421514,0.870301,15.937489,845420.262289,5891.297355
240.000000,3.000000,85.000000,1.000000,400.000000,0.422512,0.872517,15.987489,847889.493462,5905.258496
240.000000,3.000000,90.000000,1.000000,400.000000,0.423511,0.877340,16.037489,849920.905054,5919.219637
240.000000,3.000000,95.000000,1.000000,400.000000,0.424605,0.877749,16.087489,851761.946398,5934.510411
240.000000,3.000000,100.000000,1.000000,400.000000,0.425171,0.878320,16.137489,853527.597954,5942.182683
260.000000,3.000000,10.000000,1.000000,400.000000,0.243008,0.513042,15.237489,545212.601874,3396.425328
260.000000,3.000000,15.000000,1.000000,400.000000,0.265121,0.563309,15.287489,596500.127492,3705.381565
260.000000,3.000000,20.000000,1.000000,400.000000,0.287481,0.599696,15.337489,648660.010839,4018.028510
260.000000,3.000000,25.000000,1.000000,400.000000,0.307116,0.644007,15.387489,695352.545630,4292.108781
260.000000,3.000000,30.000000,1.000000,400.000000,0.325951,0.678910,15.437489,739642.981800,4555.376011
260.000000,3.000000,35.000000,1.000000,400.000000,0.345077,0.713090,15.487489,785042.423623,4822.937661
260.000000,3.000000,40.000000,1.000000,400.000000,0.361439,0.752217,15.537489,824617.286603,5051.634447
260.000000,3.000000,45.000000,1.000000,400.000000,0.377178,0.778739,15.587489,860345.118890,5271.383099
260.000000,3.000000,50.000000,1.000000,400.000000,0.392209,0.807582,15.637489,895497.611440,5481.465031
260.000000,3.000000,55.000000,1.000000,400.000000,0.405627,0.835997,15.687489,924869.221734,5669.248732
260.000000,3.000000,60.000000,1.000000,400.000000,0.412952,0.851893,15.737489,941984.414836,5771.630432
260.000000,3.000000,65.000000,1.000000,400.000000,0.417323,0.861330,15.787489,952042.241976,5832.488004
260.000000,3.000000,70.000000,1.000000,400.000000,0.419468,0.869140,15.837489,957207.301397,5862.710257
260.000000,3.000000,75.000000,1.000000,400.000000,0.420895,0.869235,15.887489,960560.971329,5882.654744
260.000000,3.000000,80.000000,1.000000,400.000000,0.422275,0.872156,15.937489,963657.869061,5901.934415
260.000000,3.000000,85.000000,1.000000,400.000000,0.423369,0.872365,15.987489,966455.450715,5917.225189
260.000000,3.000000,90.000000,1.000000,400.000000,0.424320,0.876027,16.037489,968644.326850,5930.521513
260.000000,3.000000,95.000000,1.000000,400.000000,0.425224,0.877844,16.087489,970885.669580,5943.153022
260.000000,3.000000,100.000000,1.000000,400.000000,0.426075,0.877978,16.137489,972831.140601,5954.814192
280.000000,3.000000,10.000000,1.000000,400.000000,0.243674,0.511492,15.237489,613319.648866,3405.732755
280.000000,3.000000,15.000000,1.000000,400.000000,0.265834,0.563851,15.287489,670674.884653,3715.353809
280.000000,3.000000,20.000000,1.000000,400.000000,0.288147,0.598345,15.337489,729211.988757,4027.335938
280.000000,3.000000,25.000000,1.000000,400.000000,0.307829,0.643693,15.387489,781047.815048,4302.081025
280.000000,3.000000,30.000000,1.000000,400.000000,0.326427,0.677274,15.437489,830747.141965,4562.024174
280.000000,3.000000,35.000000,1.000000,400.000000,0.345791,0.710635,15.487489,881931.025026,4832.909905
280.000000,3.000000,40.000000,1.000000,400.000000,0.362438,0.749277,15.537489,925897.423123,5065.595588
280.000000,3.000000,45.000000,1.000000,400.000000,0.377749,0.777749,15.587489,966069.132111,5279.360894
280.000000,3.000000,50.000000,1.000000,400.000000,0.392642,0.809380,15.637489,1005118.523053,5487.753899
280.000000,3.000000,55.000000,1.000000,400.000000,0.406340,0.834656,15.687489,1038921.148553,5679.220975
280.000000,3.000000,60.000000,1.000000,400.000000,0.413856,0.852207,15.737489,1057968.397792,5784.261941
280.000000,3.000000,65.000000,1.000000,400.000000,0.418322,0.859722,15.787489,1069173.508471,5846.449145
280.000000,3.000000,70.000000,1.000000,400.000000,0.420415,0.865944,15.837489,1074884.507128,5875.701060
280.000000,3.000000,75.000000,1.000000,400.000000,0.421942,0.869054,15.887489,1078858.462267,5897.280701
280.000000,3.000000,80.000000,1.000000,400.000000,0.422940,0.871442,15.937489,1082002.133722,5911.241842
280.000000,3.000000,85.000000,1.000000,400.000000,0.424082,0.873069,15.987489,1085109.773522,5927.197432
280.000000,3.000000,90.000000,1.000000,400.000000,0.425033,0.875628,16.037489,1087676.395858,5940.493757
280.000000,3.000000,95.000000,1.000000,400.000000,0.426127,0.874581,16.087489,1089869.322389,5955.784530
280.000000,3.000000,100.000000,1.000000,400.000000,0.426841,0.878976,16.137489,1092109.690095,5965.756774
300.000000,3.000000,10.000000,1.000000,400.000000,0.243817,0.511377,15.237489,681289.249345,3407.727204
